location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants?desserts-bakes=1&ref_page=subzone","Polar Bear","https://www.zomato.com/bangalore/polar-bear-banashankari","","","080 42161234","Desserts, Fast Food","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and BakesOutdoor Seating","null","3.4/5                                                    
                                                
                                                
                                                    55  votes                                                
												·","Today  12 Noon to 11:30 PM","null","Hot Chocolate Fudge,                                         
                                                                            
                                            Strawberry Shake","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-banashankari?ref_page=subzone","Atithi Point Ande Ka Funda","https://www.zomato.com/bangalore/atithi-point-ande-ka-funda-banashankari","","https://www.zomato.com/bangalore/delivery-in-banashankari?ref_page=subzone&page=4","+91 8123145797","North Indian","Average ₹150 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor Seating","null","2.9/5                                                    
                                                
                                                
                                                    Based on 13 votes                                                
												·","Today  10 AM to 10 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants?desserts-bakes=1&ref_page=subzone","Fudge","https://www.zomato.com/bangalore/fudge-2-banashankari","","","+91 8105952525","Desserts","Average ₹150 for two people (approx.)","Highlights
        
            Desserts and Bakes","null","3.2/5                                                    
                                                
                                                
                                                    Based on 8 votes                                                
												·","Today  10:30 AM to 10:30 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants?desserts-bakes=1&ref_page=subzone","The Right Moo Organic Icecreams","https://www.zomato.com/bangalore/the-right-moo-organic-icecreams-banashankari","","","080 26690211","Desserts","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  10:30 AM to 11 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants/north-indian?ref_page=subzone","Ayodhya Upachar","https://www.zomato.com/bangalore/ayodhya-upachar-banashankari","","https://www.zomato.com/bangalore/banashankari-restaurants/north-indian?ref_page=subzone&page=2","+91 9901293214","South Indian, North Indian","Average ₹200 for two people (approx.)","null","null","3.6/5                                                    
                                                
                                                
                                                    Based on 30 votes                                                
												·","Today  7 AM to 11 PM","null","Coffee","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-banashankari?ref_page=subzone","Nithin Fast Food","https://www.zomato.com/bangalore/nithin-fast-food-banashankari","","https://www.zomato.com/bangalore/dine-out-in-banashankari?ref_page=subzone&page=6","+91 8105383727","Fast Food","Average ₹200 for two people (approx.)","Highlights
                
                Breakfast","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  7 AM to 9:30 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-banashankari?ref_page=subzone","Kholi Mane","https://www.zomato.com/bangalore/kholi-mane-basavanagudi","","https://www.zomato.com/bangalore/delivery-in-banashankari?ref_page=subzone&page=5","080 26765670","North Indian, South Indian","Average ₹250 for two people (approx.)","Highlights
                
        
                Home Delivery","null","2.8/5                                                    
                                                
                                                
                                                    Based on 20 votes                                                
												·","Today  11 AM to 3:30 PM, 6:30 PM to 11 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants/north-indian?ref_page=subzone","Ragoo's","https://www.zomato.com/bangalore/ragoos-banashankari","","https://www.zomato.com/bangalore/banashankari-restaurants/north-indian?ref_page=subzone&page=3","080 26391188","Italian, North Indian","Average ₹800 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor Seating","null","3.1/5                                                    
                                                
                                                
                                                    14  votes                                                
												·","Today  10:30 AM to 10:30 PM","null","null","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-banashankari?ref_page=subzone","Sri Guru Kottureshwara Davangere Benne Dosa","https://www.zomato.com/bangalore/sri-guru-kottureshwara-davangere-benne-dosa-basavanagudi","","https://www.zomato.com/bangalore/dine-out-in-banashankari?ref_page=subzone&page=6","+91 9448305384","South Indian","Average ₹150 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.9/5                                                    
                                                
                                                
                                                    233  votes                                                
												·","Today  7:30 AM to 1 PM, 4:30 PM to 10 PM","null","Benne Dosa,                                         
                                                                            
                                            Filter Coffee,                                         
                                                                            
                                            Aloo Palya,                                         
                                                                            
                                            Kali Dosa,                                         
                                                                            
                                            Poha,                                         
                                                                            
                                            Chilli Bajji,                                         
                                                                            
                                            Set Dosa","null","null","null"
"Banashankari                        (239 places)","https://www.zomato.com/bangalore/banashankari-restaurants","See more ›","https://www.zomato.com/bangalore/banashankari-restaurants/north-indian?ref_page=subzone","Mini Punjabi Dhaba","https://www.zomato.com/bangalore/mini-punjabi-dhaba-banashankari","","","+91 9845044074","North Indian","Average ₹350 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only","null","3.5/5                                                    
                                                
                                                
                                                    96  votes                                                
												·","Today  12 Noon to 4 PM, 7 PM to 11 PM","null","Dal Tadka,                                         
                                                                            
                                            Bhindi Fry,                                         
                                                                            
                                            Veg Biryani,                                         
                                                                            
                                            Kulcha,                                         
                                                                            
                                            Sweet Lassi,                                         
                                                                            
                                            Bhindi Masala,                                         
                                                                            
                                            Paneer Paratha","Prompt Service,                                         
                                                                            
                                            Friendly Staff","null","null"
