location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone","Amdo's Corner Tibetan Foods","https://www.zomato.com/bangalore/amdos-corner-tibetan-foods-richmond-road","","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone&page=13","+91 8722345545","Tibetan","Average ₹250 for two people (approx.)","null","null","3.6/5                                                    
                                                
                                                
                                                    23  votes                                                
												·","Today  12 Noon to 10 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone","Lassi Shop","https://www.zomato.com/bangalore/lassi-shop-church-street","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone&page=4","+91 9845066065","Beverages, Juices","Average ₹100 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.8/5                                                    
                                                
                                                
                                                    Based on 18 votes                                                
												·","Today  12 Noon to 12 Midnight","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone","Chocolate Philosophy","https://www.zomato.com/bangalore/chocolate-philosophy-lavelle-road","","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone&page=3","+91 9900148332","Desserts","Average ₹500 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  9 AM to 6 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?buffet=1&ref_page=subzone","Cubbon Pavilion - ITC Gardenia","https://www.zomato.com/bangalore/cubbon-pavilion-itc-gardenia-residency-road","","","080 22119898","European, Continental, Chinese, Thai","Average ₹2,500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
                Wheelchair Accessible
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Valet Parking AvailableSmoking AreaWifiBuffet4/5 StarOutdoor SeatingLuxury Dining","Late night restaurants
 
            Great buffets","4.1/5                                                    
                                                
                                                
                                                    466  votes                                                
												·","Today  24 Hours","Their reasonable buffet","Croissant,                                         
                                                                            
                                            Breakfast Buffet,                                         
                                                                            
                                            Lassi,                                         
                                                                            
                                            Mutton Biryani,                                         
                                                                            
                                            Caramel Cake,                                         
                                                                            
                                            Sushi,                                         
                                                                            
                                            Sunday Brunch","Courteous Staff","Decor,                                         
                                                                            
                                            Live Music","Paneer Butter Masala, Hara Bhara Kebab, Chicken Tikka, Pavilion Tiramasu"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone","The Biryani Paradise","https://www.zomato.com/bangalore/the-biryani-paradise-richmond-road","","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone&page=13","+91 9448882232","Biryani, South Indian","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery","null","2.9/5                                                    
                                                
                                                
                                                    21  votes                                                
												·","Today  12 Noon to 4 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone","Shyvan Restaurant","https://www.zomato.com/bangalore/shyvan-restaurant-shanti-nagar","","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone&page=4","080 22276519","North Indian, Chinese","Average ₹500 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor Seating","null","3.4/5                                                    
                                                
                                                
                                                    62  votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone","Amma's Pastries","https://www.zomato.com/bangalore/ammas-pastries-ulsoor","","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone&page=2","080 25570666","Bakery","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","3.6/5                                                    
                                                
                                                
                                                    49  votes                                                
												·","Today  10 AM to 11 PM","Wide varieties of freshly baked cakes at a very reasonable price.","Chicken Sandwich,                                         
                                                                            
                                            Chocolate Pastry,                                         
                                                                            
                                            Chocolate Truffle,                                         
                                                                            
                                            Cheesecake","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone","The Ocea International Hotel","https://www.zomato.com/bangalore/the-ocea-international-hotel-brigade-road","","","080 40636232","North Indian, Chinese, Seafood","Average ₹800 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Valet Parking Available","null","2.5/5                                                    
                                                
                                                
                                                    188  votes                                                
												·","Today  12 Noon to 1 AM","null","Shawarma,                                         
                                                                            
                                            Neer Dosa,                                         
                                                                            
                                            Crabmeat Soup,                                         
                                                                            
                                            Grill Chicken,                                         
                                                                            
                                            Fish Pot Biryani,                                         
                                                                            
                                            Grilled Chicken,                                         
                                                                            
                                            Jeera Rice","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone","Amande Patisserie","https://www.zomato.com/bangalore/amande-patisserie-lavelle-road","","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone&page=2","080 40981668","Bakery, French, Desserts","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","4.0/5                                                    
                                                
                                                
                                                    142  votes                                                
												·","Today  10 AM to 10 PM","null","Macaron,                                         
                                                                            
                                            Chocolate Cake,                                         
                                                                            
                                            Fruit Tart,                                         
                                                                            
                                            Belgian Dark Chocolate,                                         
                                                                            
                                            Orange Tart,                                         
                                                                            
                                            Opera Cake,                                         
                                                                            
                                            Eclair","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone","Kettle & Kegs","https://www.zomato.com/bangalore/kettle-kegs-residency-road","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone&page=6","180030025009","Tea","Average ₹200 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  9 AM to 11 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/north-indian?ref_page=subzone","New Kohinoor Hotel","https://www.zomato.com/bangalore/new-kohinoor-hotel-commercial-street","","https://www.zomato.com/bangalore/brigade-road-restaurants/north-indian?ref_page=subzone&page=2","+91 9590977772","North Indian","Average ₹450 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.0/5                                                    
                                                
                                                
                                                    Based on 6 votes                                                
												·","Today  8 AM to 11 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone","Richie Rich","https://www.zomato.com/bangalore/richie-rich-st-marks-road","","https://www.zomato.com/bangalore/brigade-road-restaurants?desserts-bakes=1&ref_page=subzone&page=2","080 22278738","Desserts, Beverages, Fast Food, Street Food","Average ₹450 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and BakesWifi","Late night restaurants
 
            Frozen delights","3.5/5                                                    
                                                
                                                
                                                    165  votes                                                
												·","Today  11 AM to 12 Midnight","null","Hot Chocolate Fudge,                                         
                                                                            
                                            Vanilla Ice Cream,                                         
                                                                            
                                            Tawa Pulao,                                         
                                                                            
                                            Thick Shake,                                         
                                                                            
                                            Truffle","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone","Choi Choi Momos","https://www.zomato.com/bangalore/choi-choi-momos-brigade-road","","","+91 7353068013","Chinese, Fast Food","Average ₹250 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","null","3.1/5                                                    
                                                
                                                
                                                    Based on 4 votes                                                
												·","Today  11:30 AM to 11 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/north-indian?ref_page=subzone","Tandoori Platter","https://www.zomato.com/bangalore/tandoori-platter-residency-road","","https://www.zomato.com/bangalore/brigade-road-restaurants/north-indian?ref_page=subzone&page=5","080 30522522","North Indian","Average ₹450 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor Seating","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  9 AM to 10 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants?buffet=1&ref_page=subzone","The Lantern Restaurant & Bar - The Ritz-Carlton...","https://www.zomato.com/bangalore/the-lantern-restaurant-bar-the-ritz-carlton-bangalore-residency-road","","","080 49148240","Chinese","Average ₹2,500 for two people (approx.)","Highlights
                
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Luxury DiningBuffet4/5 StarOutdoor Seating","Luxury dining","4.2/5                                                    
                                                
                                                
                                                    241  votes                                                
												·","Today  12 Noon to 11 PM","Serving some of the best Chinese food in a five star ambience.","Dumplings,                                         
                                                                            
                                            Ma Po Tofu,                                         
                                                                            
                                            Chenin Blanc,                                         
                                                                            
                                            Haricot Stir Fry,                                         
                                                                            
                                            Burnt Garlic Rice,                                         
                                                                            
                                            Kung Pao Chicken,                                         
                                                                            
                                            Prawn Dim Sum","Friendly Staff","Decor,                                         
                                                                            
                                            Comfortable Seating,                                         
                                                                            
                                            Cozy Place","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone","Chai Point","https://www.zomato.com/bangalore/chai-point-mg-road","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-brigade-road?ref_page=subzone&page=3","+91 8880141000","Cafe, Fast Food","Average ₹150 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","Pocket friendly","3.7/5                                                    
                                                
                                                
                                                    142  votes                                                
												·","Today  6 AM to 9 PM","High quality, Indian style, hot piping tea!","Ginger Chai,                                         
                                                                            
                                            Samosa,                                         
                                                                            
                                            Banana Cake,                                         
                                                                            
                                            Masala Chai,                                         
                                                                            
                                            Poha,                                         
                                                                            
                                            Lemon Tea,                                         
                                                                            
                                            Masala Tea","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone","Wangs Kitchen","https://www.zomato.com/bangalore/wangs-kitchen-ulsoor","","https://www.zomato.com/bangalore/brigade-road-restaurants/chinese?ref_page=subzone&page=3","080 42117884","Chinese","Average ₹700 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11:30 AM to 10:30 PM","null","null","null","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone","Pizza Hut","https://www.zomato.com/bangalore/pizza-hut-1-brigade-road","","","080 49652456","Pizza, Fast Food","Average ₹750 for two people (approx.)","null","null","3.9/5                                                    
                                                
                                                
                                                    345  votes                                                
												·","Today  11 AM to 11 PM","their magic pan pizza","Cheesy Pepper Pasta,                                         
                                                                            
                                            Mushroom Soup,                                         
                                                                            
                                            Chicken Pizza,                                         
                                                                            
                                            Fries,                                         
                                                                            
                                            Paneer Pizza,                                         
                                                                            
                                            Mushroom Pasta","Friendly Service,                                         
                                                                            
                                            Friendly Staff","Outdoor Seating","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone","Gundappa Donne Biryani","https://www.zomato.com/bangalore/gundappa-donne-biryani-st-marks-road","","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone&page=10","080 42352255","Biryani","Average ₹200 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.1/5                                                    
                                                
                                                
                                                    99  votes                                                
												·","Today  12 Noon to 11 PM","null","Donne Biryani,                                         
                                                                            
                                            Chicken Biryani,                                         
                                                                            
                                            Mutton Biryani,                                         
                                                                            
                                            Chilli Chicken,                                         
                                                                            
                                            Pepper Chicken,                                         
                                                                            
                                            Karnataka Style Biryani,                                         
                                                                            
                                            Guntur Chicken","Decor","null","null"
"Brigade Road                        (124 places)","https://www.zomato.com/bangalore/brigade-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone","Secret Garden Cafe","https://www.zomato.com/bangalore/secret-garden-cafe-cunningham-road","","https://www.zomato.com/bangalore/dine-out-in-brigade-road?ref_page=subzone&page=19","080 49652917","Continental, European","Average ₹1,000 for two people (approx.)","Highlights
        
            Outdoor SeatingSmoking AreaKid Friendly","null","3.8/5                                                    
                                                
                                                
                                                    287  votes                                                
												·","Today  12:30 PM to 4 PM","null","Prawn Salad,                                         
                                                                            
                                            Veg Lasagna,                                         
                                                                            
                                            Cheesecake,                                         
                                                                            
                                            Honey Cake,                                         
                                                                            
                                            Fig Salad,                                         
                                                                            
                                            Hot Chocolate,                                         
                                                                            
                                            Grilled Fish","Cozy","null","null"
