location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredin,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Satkar","https://www.zomato.com/bangalore/satkar-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=5","+91 9972858849","Chinese","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.0/5                                                    
                                                
                                                
                                                    Based on 5 votes                                                
												·","Today  12 Noon to 4 PM, 6 PM to 11 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Fumzas Dine","https://www.zomato.com/bangalore/fumzas-dine-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=5","+91 9972972494","Biryani","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/caf%C3%A9s-in-electronic-city?ref_page=subzone","24 Hours Coffee Drop - La Classic","https://www.zomato.com/bangalore/24-hours-coffee-drop-la-classic-electronic-city","","","080 39101111","Cafe","Average ₹800 for two people (approx.)","null","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  24 Hours","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Food Club Restaurant","https://www.zomato.com/bangalore/food-club-restaurant-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=4","+91 9742901258","North Indian","Average ₹500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.1/5                                                    
                                                
                                                
                                                    Based on 13 votes                                                
												·","Today  8 AM to 10 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Buddha Bowl","https://www.zomato.com/bangalore/buddha-bowl-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=5","+91 9986490315","Healthy Food","Average ₹350 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Wallet Accepted","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  10 AM to 10:30 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Desi Breakk","https://www.zomato.com/bangalore/desi-breakk-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=3","+91 9535427428","North Indian","Average ₹150 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.4/5                                                    
                                                
                                                
                                                    18  votes                                                
												·","Today  7 AM to 12 Noon","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-electronic-city?ref_page=subzone","Leo D' Cafe","https://www.zomato.com/bangalore/leo-d-cafe-electronic-city","","https://www.zomato.com/bangalore/delivery-in-electronic-city?ref_page=subzone&page=8","+91 8050002028","American","Average ₹700 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  3 PM to 11 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","Biggies Burger 'n' More","https://www.zomato.com/bangalore/biggies-burger-n-more-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=2","080 49516584","Fast Food","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","3.3/5                                                    
                                                
                                                
                                                    29  votes                                                
												·","Today  12:30 PM to 11:30 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            French Fries,                                         
                                                                            
                                            Mojito","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Courteous Staff","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-electronic-city?ref_page=subzone","Marwa Family Restaurant","https://www.zomato.com/bangalore/marwa-family-restaurant-electronic-city","","https://www.zomato.com/bangalore/dine-out-in-electronic-city?ref_page=subzone&page=6","+91 7411645890","Kerala","Average ₹350 for two people (approx.)","Highlights
                
                Breakfast","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  8 AM to 11 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-electronic-city?ref_page=subzone","Bengaluru Restaurant","https://www.zomato.com/bangalore/bengaluru-restaurant-electronic-city","","https://www.zomato.com/bangalore/delivery-in-electronic-city?ref_page=subzone&page=4","+91 9686196089","North Indian","Average ₹1,500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","2.9/5                                                    
                                                
                                                
                                                    19  votes                                                
												·","Today  7 AM to 10 AM, 12:30 PM to 3 PM, 7 PM to 10:30 PM","null","null","null","null","null"
"Electronic City                        (432 places)","https://www.zomato.com/bangalore/electronic-city-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone","RICE BAR","https://www.zomato.com/bangalore/rice-bar-electronic-city","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-electronic-city?ref_page=subzone&page=7","+91 9341881122","North Indian","Average ₹500 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  10:30 AM to 10:30 PM","null","null","null","null","null"
