location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants?desserts-bakes=1&ref_page=subzone","Bhartiya Jalpan","https://www.zomato.com/bangalore/bhartiya-jalpan-indiranagar","","","080 49653024","North Indian, Street Food, Bakery, Mithai","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and BakesWallet AcceptedOutdoor Seating","Pocket friendly
 
            Veggie friendly","3.5/5                                                    
                                                
                                                
                                                    148  votes                                                
												·","Today  8 AM to 11 PM","null","Jalebi,                                         
                                                                            
                                            Breakfast,                                         
                                                                            
                                            Pav Bhaji,                                         
                                                                            
                                            Samosa,                                         
                                                                            
                                            Rasmalai,                                         
                                                                            
                                            Aloo Tikki Chaat,                                         
                                                                            
                                            Chaach","Decor,                                         
                                                                            
                                            Outdoor Seating","null","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants?desserts-bakes=1&ref_page=subzone","Polar Bear","https://www.zomato.com/bangalore/polar-bear-ulsoor","","https://www.zomato.com/bangalore/indiranagar-restaurants?desserts-bakes=1&ref_page=subzone&page=4","null","Desserts, Fast Food","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor SeatingDesserts and Bakes","null","3.2/5                                                    
                                                
                                                
                                                    Based on 18 votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants/chinese?ref_page=subzone","Sri Lakshmi Restaurant","https://www.zomato.com/bangalore/sri-lakshmi-restaurant-domlur","","https://www.zomato.com/bangalore/indiranagar-restaurants/chinese?ref_page=subzone&page=4","080 41202001","Andhra, Chinese, North Indian","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 11 PM","null","null","null","null","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants?buffet=1&ref_page=subzone","Ginger Tiger","https://www.zomato.com/bangalore/ginger-tiger-indiranagar","","","080 69994949","Chinese, Asian","Average ₹950 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                                Serves Non Veg
                    
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Outdoor SeatingWifiBuffetValet Parking AvailableSmoking Area","Pan-Asian delicacies","3.6/5                                                    
                                                
                                                
                                                    1139  votes                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 11 PM","Their outdoor ambience with dimmed lighting, candles and greenery.","Fortune Cookie,                                         
                                                                            
                                            Veg Hakka Noodle,                                         
                                                                            
                                            Crispy Noodle,                                         
                                                                            
                                            Crispy Prawn,                                         
                                                                            
                                            Chocolate Mousse,                                         
                                                                            
                                            Momos,                                         
                                                                            
                                            Chicken Skewer","Courteous Service,                                         
                                                                            
                                            Courteous Staff,                                         
                                                                            
                                            Friendly Staff","Decor,                                         
                                                                            
                                            Cozy,                                         
                                                                            
                                            Outdoor Seating","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-indiranagar?ref_page=subzone","Tandoor","https://www.zomato.com/bangalore/tandoor-mg-road","","https://www.zomato.com/bangalore/delivery-in-indiranagar?ref_page=subzone&page=7","080 49653144","North Indian","Average ₹2,100 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Valet Parking Available","Legendary outlets
 
            Flavours of Punjab","3.8/5                                                    
                                                
                                                
                                                    815  votes                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 11:30 PM","Their North Indian delicacies","Dal Makhani,                                         
                                                                            
                                            Jal-jeera,                                         
                                                                            
                                            Tandoori Pomfret,                                         
                                                                            
                                            Non Veg Platter,                                         
                                                                            
                                            Murgh Kabuli,                                         
                                                                            
                                            Paneer Makhani,                                         
                                                                            
                                            Malai Kebab","Courteous Staff,                                         
                                                                            
                                            Prompt Service","Decor","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-indiranagar?ref_page=subzone","Shebestan - Sterlings MAC Hotel","https://www.zomato.com/bangalore/shebestan-sterlings-mac-hotel-airport-road","","https://www.zomato.com/bangalore/dine-out-in-indiranagar?ref_page=subzone&page=15","+91 7353757585","Arabian","Average ₹1,500 for two people (approx.)","Highlights
                
        
        
        
        
        
        
        
        
                Wheelchair Accessible
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Valet Parking AvailableSmoking Area","null","3.8/5                                                    
                                                
                                                
                                                    244  votes                                                
												·","Today  11 AM to 11 PM","Their over the top decor","Tabbouleh,                                         
                                                                            
                                            Mutton Curry,                                         
                                                                            
                                            Kheer,                                         
                                                                            
                                            Lamb Curry,                                         
                                                                            
                                            Lunch Buffet,                                         
                                                                            
                                            Fattoush,                                         
                                                                            
                                            Shawarma Platter","Friendly Staff","Decor","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants/north-indian?ref_page=subzone","Eatongo.in","https://www.zomato.com/eatongo","","https://www.zomato.com/bangalore/indiranagar-restaurants/north-indian?ref_page=subzone&page=2","080 67414714","Continental, North Indian","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","Pocket friendly
 
            Just delivery
 
            Great breakfasts","3.9/5                                                    
                                                
                                                
                                                    326  votes                                                
												·","Today  7:30 AM to 3 PM","their Purani Dilli combo","Pancakes,                                         
                                                                            
                                            Orange Juice,                                         
                                                                            
                                            Kachori,                                         
                                                                            
                                            Gajar Ka Halwa,                                         
                                                                            
                                            Buttermilk,                                         
                                                                            
                                            Baked Beans,                                         
                                                                            
                                            Veg Burger","Prompt Service","null","Purani Dilli Brunch, Bhojpuri Brunch, Pancake With Yogurt Parfeit, English Brunch"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-indiranagar?ref_page=subzone","Chili's","https://www.zomato.com/bangalore/chilis-indiranagar","","","080 49652719","American, Tex-Mex, Burger","Average ₹1,800 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Outdoor SeatingValet Parking AvailableSmoking Area","Kickass burgers
 
            Happy hours","4.4/5                                                    
                                                
                                                
                                                    2074  votes                                                
												·","Today  12 Noon to 11:30 PM","Signature Margaritas, American Portions and Music","Nachos,                                         
                                                                            
                                            Santa Fe Quesadillas,                                         
                                                                            
                                            Texas Cheese Poppers,                                         
                                                                            
                                            Cajun Chicken Pasta,                                         
                                                                            
                                            Santa Fe Chicken Salad,                                         
                                                                            
                                            Bbq Chicken Salad,                                         
                                                                            
                                            Jalapeno Burger","Courteous Staff,                                         
                                                                            
                                            Courteous Service,                                         
                                                                            
                                            Friendly Staff","Lovely Ambience,                                         
                                                                            
                                            Decor,                                         
                                                                            
                                            Karaoke Night","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants/north-indian?ref_page=subzone","Cafe Srinidhi","https://www.zomato.com/bangalore/cafe-srinidhi-indiranagar","","https://www.zomato.com/bangalore/indiranagar-restaurants/north-indian?ref_page=subzone&page=3","080 25202259","South Indian, North Indian, Fast Food, Street Food","Average ₹250 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor Seating","null","2.7/5                                                    
                                                
                                                
                                                    Based on 66 votes                                                
												·","Today  6:30 AM to 10 PM","null","Coffee,                                         
                                                                            
                                            Masala Dosa","null","null","null"
"Indiranagar                        (412 places)","https://www.zomato.com/bangalore/indiranagar-restaurants","See more ›","https://www.zomato.com/bangalore/indiranagar-restaurants/chinese?ref_page=subzone","K2B Restaurant","https://www.zomato.com/bangalore/k2b-restaurant-airport-road","","https://www.zomato.com/bangalore/indiranagar-restaurants/chinese?ref_page=subzone&page=6","Not Available","Kerala, South Indian, North Indian, Chinese","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 10:30 PM","null","null","null","null","null"
