location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredin,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-koramangala-5th-block?ref_page=subzone","Dev's Gugababa","https://www.zomato.com/bangalore/devs-gugababa-btm","","https://www.zomato.com/bangalore/delivery-in-koramangala-5th-block?ref_page=subzone&page=9","+91 9731495358","Bengali","Average ₹500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.1/5                                                    
                                                
                                                
                                                    Based on 28 votes                                                
												·","Today  11:30 AM to 4:30 PM, 6 PM to 10 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Aloo Bhaja,                                         
                                                                            
                                            Veg Thali,                                         
                                                                            
                                            Luchi","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone","New Farm Fresh","https://www.zomato.com/bangalore/new-farm-fresh-btm","","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone&page=20","080 49653519","Italian","Average ₹650 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Wallet Accepted","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11:30 AM to 11:30 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/north-indian?ref_page=subzone","Lunch Outlet","https://www.zomato.com/bangalore/lunch-outlet-koramangala-1st-block","","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/north-indian?ref_page=subzone&page=4","+91 9591026082","North Indian","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","2.9/5                                                    
                                                
                                                
                                                    Based on 5 votes                                                
												·","Today  8 AM to 11 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone","Cheese Bowl","https://www.zomato.com/bangalore/cheese-bowl-btm","","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone&page=23","+91 9663917465","Fast Food","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","","Today  11 AM to 11 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone","Blu Dale Fast Food","https://www.zomato.com/bangalore/blu-dale-fast-food-ejipura","","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone&page=5","080 25711433","Chinese","Average ₹250 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.0/5                                                    
                                                
                                                
                                                    Based on 4 votes                                                
												·","Today  11 AM to 3:30 PM, 6:30 PM to 10:30 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/north-indian?ref_page=subzone","Punjabi Dhaba","https://www.zomato.com/bangalore/punjabi-dhaba-ejipura","","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/north-indian?ref_page=subzone&page=5","+91 9900296710","North Indian","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Wallet Accepted","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  12:30 PM to 10:30 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone","Nandanam Family Restaurant","https://www.zomato.com/bangalore/nandanam-family-restaurant-btm","","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone&page=9","+91 7406619252","South Indian","Average ₹400 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  7 AM to 11 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone","McDonald's","https://www.zomato.com/bangalore/mcdonalds-koramangala-5th-block","","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone&page=3","080 66000666","Fast Food","Average ₹500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.6/5                                                    
                                                
                                                
                                                    165  votes                                                
												·","Today  10 AM to 11 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            French Fries,                                         
                                                                            
                                            Paneer Pockets,                                         
                                                                            
                                            Cheesy Fries,                                         
                                                                            
                                            Ice Tea,                                         
                                                                            
                                            Mc Chicken Burger,                                         
                                                                            
                                            Chicken Maharaja Mac,                                         
                                                                            
                                            Chicken Wings","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Courteous Staff","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone","Nammura Donne Biriyani","https://www.zomato.com/bangalore/nammura-donne-biriyani-btm","","https://www.zomato.com/bangalore/dine-out-in-koramangala-5th-block?ref_page=subzone&page=23","+91 9343377779","Biryani","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Koramangala 5th Block                        (200 places)","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants","See more ›","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone","Avial Restaurant","https://www.zomato.com/bangalore/avial-restaurant-btm","","https://www.zomato.com/bangalore/koramangala-5th-block-restaurants/chinese?ref_page=subzone&page=8","+91 9916706530","Kerala","Average ₹500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  7 AM to 11 PM","null","null","null","null","null"
