location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants/north-indian?ref_page=subzone","Dum Pukht Jolly Nabobs - ITC Windsor","https://www.zomato.com/bangalore/dum-pukht-jolly-nabobs-itc-windsor-sankey-road","","https://www.zomato.com/bangalore/malleshwaram-restaurants/north-indian?ref_page=subzone&page=2","080 61402610","North Indian","Average ₹7,000 for two people (approx.)","Highlights
                
        
        
        
        
        
        
        
        
                Wheelchair Accessible
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            4/5 StarLuxury DiningWifi","Luxury dining","4.2/5                                                    
                                                
                                                
                                                    245  votes                                                
												·","Today  12:30 PM to 2:45 PM, 7 PM to 11:30 PM","Their kakori kabab and biryani.","Kakori Kebab,                                         
                                                                            
                                            Shahi Tukda,                                         
                                                                            
                                            Dumpukht Biryani,                                         
                                                                            
                                            Murgh Chandi Tikka,                                         
                                                                            
                                            Dum Biryani,                                         
                                                                            
                                            Murgh Bemisal,                                         
                                                                            
                                            Subz Biryani","Decor","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-malleshwaram?ref_page=subzone","Chung's Chinese Corner","https://www.zomato.com/bangalore/chungs-chinese-corner-malleshwaram","","","080 49652886","Chinese","Average ₹700 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.5/5                                                    
                                                
                                                
                                                    227  votes                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 11 PM","null","Schezwan Noodle,                                         
                                                                            
                                            Corn Soup,                                         
                                                                            
                                            Momos,                                         
                                                                            
                                            Dragon Chop Suey,                                         
                                                                            
                                            Crispy Chilli Chicken,                                         
                                                                            
                                            Chicken Fried Rice,                                         
                                                                            
                                            American Chop Suey","Courteous Staff","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone","UK Foods","https://www.zomato.com/bangalore/uk-foods-malleshwaram","","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone&page=2","+91 9900938365","Desserts","Average ₹100 for two people (approx.)","Highlights
        
            Desserts and Bakes","null","3.0/5                                                    
                                                
                                                
                                                    Based on 5 votes                                                
												·","Today  10:30 AM to 9:30 PM","null","null","null","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-malleshwaram?ref_page=subzone","Four Seasons Fast Food","https://www.zomato.com/bangalore/four-seasons-fast-food-malleshwaram","","https://www.zomato.com/bangalore/dine-out-in-malleshwaram?ref_page=subzone&page=5","+91 9945798540","Biryani","Average ₹100 for two people (approx.)","null","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone","The Baking Company","https://www.zomato.com/TheBakingCompany","","","080 49652517","Bakery, Desserts, Fast Food","Average ₹450 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","3.4/5                                                    
                                                
                                                
                                                    22  votes                                                
												·","Today  10 AM to 10 PM","null","null","null","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone","Sri Krishna Sweets","https://www.zomato.com/bangalore/sri-krishna-sweets-malleshwaram","","","080 23463582","Desserts, Mithai","Average ₹150 for two people (approx.)","Highlights
                
        
        
                Takeaway Only
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available
        
        
        
            
    

            Desserts and Bakes","null","3.4/5                                                    
                                                
                                                
                                                    14  votes                                                
												·","Today  9:30 AM to 9:30 PM","null","null","null","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone","","","null","https://www.zomato.com/bangalore/malleshwaram-restaurants?desserts-bakes=1&ref_page=subzone&page=3","","","","","","","","","","","",""
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-malleshwaram?ref_page=subzone","Sbarro","https://www.zomato.com/bangalore/sbarro-malleshwaram","","","080 22667343","Pizza, Italian, Fast Food","Average ₹650 for two people (approx.)","Highlights
                
        
                Home Delivery","null","2.6/5                                                    
                                                
                                                
                                                    106  votes                                                
												·","Today  9:30 AM to 11:30 PM","null","Stuffed Pizza","null","null","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-malleshwaram?ref_page=subzone","Sea Rock","https://www.zomato.com/bangalore/sea-rock-seshadripuram","","https://www.zomato.com/bangalore/delivery-in-malleshwaram?ref_page=subzone&page=4","+91 8884128881","Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai","Average ₹1,000 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Smoking AreaWifi","Super seafood","3.9/5                                                    
                                                
                                                
                                                    183  votes                                                
												·","Today  11:30 AM to 3:30 PM, 6:30 PM to 11:30 PM","null","Neer Dosa,                                         
                                                                            
                                            Crab Ghee Roast,                                         
                                                                            
                                            Prawn Ghee Roast,                                         
                                                                            
                                            Palak Rice,                                         
                                                                            
                                            Chicken Lollipop,                                         
                                                                            
                                            Chicken Ghee Roast,                                         
                                                                            
                                            Fish Curry","Prompt Service","Decor,                                         
                                                                            
                                            Live Music","null"
"Malleshwaram                        (215 places)","https://www.zomato.com/bangalore/malleshwaram-restaurants","See more ›","https://www.zomato.com/bangalore/malleshwaram-restaurants?category=11&ref_page=subzone","Opel Lounge","https://www.zomato.com/bangalore/opel-lounge-yeshwantpur","","","080 42595959","Finger Food, Chinese, North Indian","Average ₹700 for two people (approx.) with alcohol","Highlights
                
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Nightlife","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
