location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredin,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","Ghar Ki Thali","https://www.zomato.com/bangalore/ghar-ki-thali-thippasandra","","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone&page=9","+91 9980493757","North Indian","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","2.8/5                                                    
                                                
                                                
                                                    Based on 29 votes                                                
												·","Today  11 AM to 4 PM, 7 PM to 11 PM","null","null","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","Crunch Pizzas","https://www.zomato.com/bangalore/crunch-pizzas-indiranagar","","","080 65651180","Italian","Average ₹600 for two people (approx.)","Highlights
                
        
                Home Delivery","Known For
            
                Reasonably priced pizzas available post midnight","3.4/5                                                    
                                                
                                                
                                                    374  votes                                                
												·","Today  24 Hours","Reasonably priced pizzas available post midnight","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Thin Crust Pizza,                                         
                                                                            
                                            Meat Pizza,                                         
                                                                            
                                            Pepperoni Pizza","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-old-airport-road?ref_page=subzone","Sri Ganesh Fruit Juice Centre","https://www.zomato.com/bangalore/sri-ganesh-fruit-juice-centre-thippasandra","","https://www.zomato.com/bangalore/dine-out-in-old-airport-road?ref_page=subzone&page=5","+91 9901592919","Juices","Average ₹100 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor Seating","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","3.1/5                                                    
                                                
                                                
                                                    Based on 10 votes                                                
												·","Today  9 AM to 12 Midnight","null","null","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-old-airport-road?ref_page=subzone","Paratha Plaza","https://www.zomato.com/bangalore/paratha-plaza-indiranagar","","https://www.zomato.com/bangalore/dine-out-in-old-airport-road?ref_page=subzone&page=10","+91 9740258348","North Indian","Average ₹200 for two people (approx.)","null","null","3.5/5                                                    
                                                
                                                
                                                    65  votes                                                
												·","Today  11:30 AM to 3:30 PM, 6:30 PM to 11 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Paneer Butter Masala","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","InnerChef","https://www.zomato.com/bangalore/innerchef-indiranagar","","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone&page=4","080 49595676","North Indian","Average ₹500 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","3.7/5                                                    
                                                
                                                
                                                    19  votes                                                
												·","Today  8 AM to 10 PM","null","null","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/old-airport-road-restaurants?desserts-bakes=1&ref_page=subzone","Sri Udupi Park Lounge","https://www.zomato.com/bangalore/sri-udupi-park-lounge-airport-road","","","+91 9845888843","South Indian","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and BakesOutdoor Seating","Report Error                                    
                                
                            
                                                                                                                                
                                        Claim this listing","2.6/5                                                    
                                                
                                                
                                                    Based on 21 votes                                                
												·","Today  7:30 AM to 10:30 PM","null","null","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","Tasty Stories","https://www.zomato.com/bangalore/tasty-stories-indiranagar","","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone&page=2","080 49652135","Continental","Average ₹550 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
        
                Table booking not available
            
    

            Outdoor SeatingWifiSmoking Area","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","3.6/5                                                    
                                                
                                                
                                                    54  votes                                                
												·","Today  9 AM to 10 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Chicken Steak,                                         
                                                                            
                                            Sabudana Vada,                                         
                                                                            
                                            Burnt Garlic Soup","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Decor","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","Hongkong Noodles","https://www.zomato.com/bangalore/hongkong-noodles-thippasandra","","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone&page=2","080 41208555","Chinese","Average ₹750 for two people (approx.)","Highlights
                
        
                Home Delivery","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","3.3/5                                                    
                                                
                                                
                                                    117  votes                                                
												·","Today  11 AM to 11 PM","null","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Momos,                                         
                                                                            
                                            Manchow Soup","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Prompt Service","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone","Five Star Chicken","https://www.zomato.com/bangalore/five-star-chicken-jeevan-bhima-nagar","","https://www.zomato.com/bangalore/delivery-in-old-airport-road?ref_page=subzone&page=9","+91 7676977777","Fast Food","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
                
         Serves Halal","Report Error                                    
                                
                            
                                                                                                                                
                                        
                                        Claimed listing","2.9/5                                                    
                                                
                                                
                                                    23  votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Old Airport Road                        (128 places)","https://www.zomato.com/bangalore/old-airport-road-restaurants","See more ›","https://www.zomato.com/bangalore/old-airport-road-restaurants?buffet=1&ref_page=subzone","Southindies","https://www.zomato.com/bangalore/southindies-1-indiranagar","","","080 49653574","South Indian","Average ₹800 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor SeatingValet Parking AvailableBuffet","Featured in Collection 
            Veggie friendly","3.8/5                                                    
                                                
                                                
                                                    879  votes                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 11 PM","Pure vegetarian food from all Southern States.","Food
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Appam,                                         
                                                                            
                                            Pongal,                                         
                                                                            
                                            Veg Buffet,                                         
                                                                            
                                            Rava Idli,                                         
                                                                            
                                            Panipuri,                                         
                                                                            
                                            Mini Idli,                                         
                                                                            
                                            Elaneer Payasam","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Courteous Staff,                                         
                                                                            
                                            Prompt Service","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Decor,                                         
                                                                            
                                            Outdoor Seating","null"
