location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-sarjapur-road?ref_page=subzone","Sri Vishnu Grand","https://www.zomato.com/bangalore/sri-vishnu-grand-sarjapur-road","","https://www.zomato.com/bangalore/delivery-in-sarjapur-road?ref_page=subzone&page=4","+91 7996611099","Chinese, North Indian, South Indian","Average ₹400 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Outdoor Seating","null","3.2/5                                                    
                                                
                                                
                                                    Based on 6 votes                                                
												·","Today  7 AM to 11 PM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/sarjapur-road-restaurants?buffet=1&ref_page=subzone","","","null","","","","","","","","","","","","",""
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/sarjapur-road-restaurants?desserts-bakes=1&ref_page=subzone","Gelato Italiano","https://www.zomato.com/bangalore/gelato-italiano-sarjapur-road","","","+91 9886625495","Ice Cream","Average ₹200 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Desserts and Bakes","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 10:30 PM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone","Ritomi's Lov","https://www.zomato.com/bangalore/ritomis-lov-bellandur","","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone&page=8","+91 7760611450","North Indian","Average ₹400 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.4/5                                                    
                                                
                                                
                                                    17  votes                                                
												·","Today  8 AM to 10:30 AM, 12 Noon to 4 PM, 7 PM to 10:30 PM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/sarjapur-road-restaurants?desserts-bakes=1&ref_page=subzone","Food At Midnight","https://www.zomato.com/bangalore/food-at-midnight-bellandur","","https://www.zomato.com/bangalore/sarjapur-road-restaurants?desserts-bakes=1&ref_page=subzone&page=2","+91 7829906795","Chinese, Desserts, North Indian, Street Food","Average ₹450 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available
        
        
        
            
    

            Desserts and Bakes","null","3.1/5                                                    
                                                
                                                
                                                    Based on 11 votes                                                
												·","Today  11 PM to 5 AM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/sarjapur-road-restaurants?desserts-bakes=1&ref_page=subzone","Soul Treat","https://www.zomato.com/soultreat","","","+91 8880478000","Bakery, Desserts, Healthy Food","Average ₹750 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Gluten Free OptionsVegan OptionsDesserts and Bakes","Sweet tooth","4.2/5                                                    
                                                
                                                
                                                    157  votes                                                
												·","Today  11 AM to 9 PM","Healthy & wholesomely delicious wholewheat and eggless cakes","Fruit Cake,                                         
                                                                            
                                            Carrot Cake,                                         
                                                                            
                                            Brownie,                                         
                                                                            
                                            Chocolate Blueberry,                                         
                                                                            
                                            Meetha Paan,                                         
                                                                            
                                            Kaju Katli","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone","Ambur Biryani Point","https://www.zomato.com/bangalore/ambur-biryani-point-sarjapur-road","","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone&page=4","+91 9738903295","Fast Food","Average ₹150 for two people (approx.)","null","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 10 PM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/caf%C3%A9s-in-sarjapur-road?ref_page=subzone","Aroi","https://www.zomato.com/bangalore/aroi-sarjapur-road","","","+91 8884122200","Burmese, Singaporean, Cafe, Malaysian, Chinese, Japanese, Vietnamese, Thai","Average ₹1,100 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor SeatingWifiRooftopFree ParkingSmoking Area","Romantic
 
            Rooftops
 
            Pan-Asian delicacies","3.8/5                                                    
                                                
                                                
                                                    Based on 959 votes                                                
												·","Today  7 AM to 10:30 AM, 12 Noon to 3 PM, 7 PM to 11 PM","Their dining experience and asian delicacies","Pepper Lemon Soup,                                         
                                                                            
                                            Basil Fish,                                         
                                                                            
                                            Mushroom Dim Sum,                                         
                                                                            
                                            Mojito,                                         
                                                                            
                                            Momos,                                         
                                                                            
                                            Crab Soup,                                         
                                                                            
                                            Tom Yum Soup","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Courteous Staff,                                         
                                                                            
                                            Friendly Staff","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Decor,                                         
                                                                            
                                            Outdoor Seating,                                         
                                                                            
                                            Rooftop Ambience","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-sarjapur-road?ref_page=subzone","Sri Vasavi Restaurant","https://www.zomato.com/bangalore/sri-vasavi-restaurant-bellandur","","https://www.zomato.com/bangalore/delivery-in-sarjapur-road?ref_page=subzone&page=7","+91 9980744039","Chinese, Biryani","Average ₹250 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.2/5                                                    
                                                
                                                
                                                    Based on 18 votes                                                
												·","Today  7 AM to 10:30 AM, 12 Noon to 4 PM, 7 PM to 11 PM","null","null","null","null","null"
"Sarjapur Road                        (208 places)","https://www.zomato.com/bangalore/sarjapur-road-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone","Pathan Kot Punjabi Restaurant","https://www.zomato.com/bangalore/pathan-kot-punjabi-restaurant-bellandur","","https://www.zomato.com/bangalore/dine-out-in-sarjapur-road?ref_page=subzone&page=9","080 41534383","North Indian","Average ₹350 for two people (approx.)","Highlights
        
            Outdoor Seating","null","2.9/5                                                    
                                                
                                                
                                                    Based on 4 votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
