location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants?desserts-bakes=1&ref_page=subzone","Cream 'n' Desserts","https://www.zomato.com/bangalore/cream-n-desserts-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants?desserts-bakes=1&ref_page=subzone&page=2","null","Desserts, Beverages","Average ₹400 for two people (approx.)","Highlights
        
            Desserts and Bakes","null","3.0/5                                                    
                                                
                                                
                                                    Based on 16 votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone","Karibu - The Zuri","https://www.zomato.com/bangalore/karibu-the-zuri-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone&page=3","080 45128609","North Indian, Continental","Average ₹2,000 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
                Wheelchair Accessible
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available","Luxury dining","3.6/5                                                    
                                                
                                                
                                                    171  votes                                                
												·","Today  24 Hours","null","Sunday Brunch,                                         
                                                                            
                                            Breakfast Buffet,                                         
                                                                            
                                            Omelette,                                         
                                                                            
                                            Fish Tikka,                                         
                                                                            
                                            Lunch Buffet,                                         
                                                                            
                                            English Breakfast,                                         
                                                                            
                                            Butter Naan","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Friendly Staff","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Decor,                                         
                                                                            
                                            Live Music","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone","Orzuv Hub","https://www.zomato.com/bangalore/orzuv-hub-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone&page=5","+91 9820315439","Kashmiri","Average ₹900 for two people (approx.)","null","null","3.2/5                                                    
                                                
                                                
                                                    10  votes                                                
												·","Today  10:30 AM to 10:30 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone","American Fried Chicken","https://www.zomato.com/bangalore/american-fried-chicken-whitefield","","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone&page=12","+91 9845899444","Fast Food","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone","Snacks Centre","https://www.zomato.com/bangalore/snacks-centre-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone&page=4","+91 9590801364","North Indian","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  9 AM to 10:30 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone","Taco Bell","https://www.zomato.com/bangalore/taco-bell-whitefield","","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone&page=5","080 33166100","Mexican, American, Fast Food","Average ₹600 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Wifi","null","3.7/5                                                    
                                                
                                                
                                                    Based on 25 votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone","Tarama Bengali Food","https://www.zomato.com/bangalore/tarama-bengali-food-whitefield","","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone&page=12","+91 8431941089","Bengali","Average ₹200 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  8 AM to 10 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone","Straw & Spoon","https://www.zomato.com/bangalore/straw-spoon-whitefield","","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone&page=6","080 42108555","Healthy Food, Salad","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.4/5                                                    
                                                
                                                
                                                    47  votes                                                
												·","Today  8 AM to 10 PM","null","Pasta Salad,                                         
                                                                            
                                            Poha","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone","Sai Renaissance","https://www.zomato.com/bangalore/sai-renaissance-whitefield","","https://www.zomato.com/bangalore/dine-out-in-whitefield?ref_page=subzone&page=9","080 28456266","South Indian","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","2.9/5                                                    
                                                
                                                
                                                    Based on 13 votes                                                
												·","Today  6 AM to 11 AM, 12 Noon to 3:30 PM, 6 PM to 11 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/chinese?ref_page=subzone","Hotel Khana Khazana","https://www.zomato.com/bangalore/hotel-khana-khazana-itpl-main-road-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/chinese?ref_page=subzone&page=5","+91 9886261611","Chinese, Biryani, Juices","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available
        
        
        
            
    

            All Day Breakfast","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  7 AM to 11:30 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone","87 - Premier Inn","https://www.zomato.com/bangalore/87-premier-inn-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/north-indian?ref_page=subzone&page=6","+91 9916084423","North Indian, South Indian, Asian, Continental","Average ₹1,200 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
        
        
                Wheelchair Accessible
        
            
    
        
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Valet Parking AvailableSmoking AreaOutdoor Seating","null","2.8/5                                                    
                                                
                                                
                                                    Based on 30 votes                                                
												·","Today  11 AM to 11 PM","null","null","null","null","null"
"Whitefield                        (669 places)","https://www.zomato.com/bangalore/whitefield-restaurants","See more ›","https://www.zomato.com/bangalore/whitefield-restaurants/chinese?ref_page=subzone","Mithai Time","https://www.zomato.com/bangalore/mithai-time-whitefield","","https://www.zomato.com/bangalore/whitefield-restaurants/chinese?ref_page=subzone&page=4","080 49569099","North Indian, Chinese, Desserts","Average ₹200 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.2/5                                                    
                                                
                                                
                                                    Based on 7 votes                                                
												·","Today  9 AM to 10 PM","null","null","null","null","null"
