Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Polar Bear,Banashankari,3.4,555,350,['12 No'],['1130 PM'],"Desserts, Fast Food","['Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],['HotChocolateFudge'],[],[],[],"5, 3"
Atithi Point Ande Ka Funda,Banashankari,2.9,513,150,['10 AM'],['10 PM'],North Indian,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],0
Fudge,Banashankari,3.2,58,150,['1030 AM'],['1030 PM'],Desserts,['Desserts and Bakes'],[],[],[],[],[],[],5
The Right Moo Organic Icecreams,Banashankari,NA,Not enough,300,['1030 AM'],['11 PM'],Desserts,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],5
Ayodhya Upachar,Banashankari,3.6,530,200,['7 AM'],['11 PM'],"South Indian, North Indian",[],[],[],[],[],[],[],"2, 0"
Nithin Fast Food,Banashankari,NA,Not enough,200,['7 AM'],['930 PM'],Fast Food,['Breakfast'],[],[],[],[],[],[],3
Kholi Mane,Banashankari,2.8,520,250,"['11 AM', '630 PM']","['330 PM', '11 PM']","North Indian, South Indian",['Home Delivery'],[],[],[],[],[],[],"0, 2"
Ragoo's,Banashankari,3.1,514,800,['1030 AM'],['1030 PM'],"Italian, North Indian","['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],"10, 0"
Sri Guru Kottureshwara Davangere Benne Dosa,Banashankari,3.9,5233,150,"['730 AM', '430 PM']","['1 PM', '10 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['BenneDosa', 'FilterCoffee', 'AlooPalya', 'KaliDosa', 'Poha', 'ChilliBajji']",[],[],[],2
Mini Punjabi Dhaba,Banashankari,3.5,596,350,"['12 No', '7 PM']","['4 PM', '11 PM']",North Indian,['Vegetarian Only'],[],[],"['DalTadka', 'BhindiFry', 'VegBiryani', 'Kulcha', 'SweetLassi', 'BhindiMasala']",['PromptService'],[],[],0
Srinagar Kabab Corner,Banashankari,NA,Not enough,250,['11 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[],0
San Churro Cafe,Banashankari,3.6,5545,750,['9 AM'],['11 PM'],"Desserts, Fast Food, Cafe","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['Churros', 'Nachos', 'HotChocolate', 'PinkSaucePasta', 'Churro', 'SupremeVegPizza']",[],"['Decor', 'Cozy']",[],"5, 3, 7"
Vi Ra's Bar and Restaurant,Banashankari,3.2,537,800,['11 AM'],['11 PM'],"South Indian, North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"2, 0, 1"
Chumma Delicious,Banashankari,NA,Not enough,200,['6 AM'],['1030 PM'],"South Indian, Fast Food",['Breakfast'],[],[],[],[],[],[],"2, 3"
SLV Refreshment,Banashankari,3.7,550,100,"['6 AM', '4 PM']","['12 No', '830 PM']",South Indian,"['Breakfast', 'Vegetarian Only']",[],[],"['Coffee', 'KharaBhath', 'IdliVada']",[],[],[],2
My Tea House,Banashankari,2.8,532,600,['11 AM'],['1045 PM'],"Italian, Fast Food, Cafe, European","['Home Delivery', 'Live Sports Screening']",[],[],[],[],[],[],"10, 3, 7, 26"
Swadesh Tadka,Banashankari,3.3,5114,600,"['12 No', '7 PM']","['4 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Smoking AreaWifi']",[],[],"['GulabJamun', 'MasalaPapad', 'KadhaiVeg', 'ClearSoup', 'HaraBharaKebab', 'Jal-jeera']",[],[],[],"0, 1"
Hotel Nisarga,Banashankari,NA,Not enough,250,"['11 AM', '7 PM']","['4 PM', '11 PM']","North Indian, South Indian",[],[],[],[],[],[],[],"0, 2"
North Chatpata Cafe,Banashankari,NA,Not enough,300,['11 AM'],['10 PM'],"Cafe, North Indian","['Breakfast', 'Takeaway Only', 'Seating Not Available']",[],[],[],[],[],[],"7, 0"
Shringar Sweets & Snacks,Banashankari,3.1,55,200,['10 AM'],['10 PM'],Street Food,"['Vegetarian Only', 'Self ServiceDesserts and Bakes']",[],[],[],[],[],[],9
Cake Bite,Banashankari,NA,Not enough,300,['630 AM'],['1030 PM'],Bakery,"['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[],8
J Spice,Banashankari,3.5,538,750,"['11 AM', '7 PM']","['3 PM', '11 PM']","North Indian, Chinese","['Home Delivery', 'Full Bar Available', 'Valet Parking Available']",[],[],"['StuffedMushroom', 'ChickenBiryani', 'Beer', 'FishCurry']",[],[],[],"0, 1"
AFC - Amrutha Food Corner,Banashankari,NA,Not enough,200,['630 AM'],['10 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Self Service']",[],[],[],[],[],[],"2, 0, 1"
Jcubez,Banashankari,3.4,5567,1400,['11 AM'],['11 PM'],Finger Food,"['Full Bar Available', 'WifiNightlifeSmoking Area']",[],[],"['Beer', 'ChilliChicken']",[],"['Dj', 'CozyPlace']",[],19
Just Bake,Banashankari,2.7,530,400,['1030 AM'],['11 PM'],Bakery,"['Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],8
Mumma's Day Out,Banashankari,3.8,556,400,['830 AM'],['10 PM'],North Indian,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['Poha', 'Buttermilk']",[],[],[],0
Navi Super Cakes,Banashankari,3,55,200,['11 AM'],['930 PM'],Bakery,['Outdoor SeatingDesserts and Bakes'],[],[],[],[],[],[],8
Hot Teas,Banashankari,NA,Not enough,300,['10 AM'],['9 PM'],"Cafe, Burger",['Vegetarian Only'],[],[],[],[],[],[],"7, 25"
RS Shiv Sagar,Banashankari,3.4,5131,500,['730 AM'],['1030 PM'],"North Indian, Chinese, South Indian, Mexican, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Serves Jain Food']",[],[],"['Brownie', 'PaneerButterMasala', 'MasalaPapad', 'GobhiManchurian', 'FriedRice', 'BabycornManchurian']",[],[],[],"0, 1, 2, 32, 3"
Just Bake,Banashankari,2.9,515,400,['930 AM'],['10 PM'],Bakery,"['Breakfast', 'Home Delivery', 'Desserts and Bakes']",[],[],[],[],[],[],8
Swathi Cool Point,Banashankari,NA,Not enough,200,['830 AM'],['1030 PM'],"North Indian, Beverages","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],"0, 15"
Waffle-A-Go Go,Banashankari,3.6,527,400,['430 PM'],['1030 PM'],"Fast Food, Desserts, Ice Cream",['Desserts and Bakes'],[],[],[],[],[],[],"3, 5, 14"
Jalsa,Banashankari,3.6,5381,800,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Mughlai, Chinese","['Home Delivery', 'Wheelchair Accessible', 'Serves Non Veg', 'Full Bar Available', 'Outdoor SeatingSmoking AreaValet Parking AvailableLive Sports Screening']",[],[],"['KalmiKebab', 'PaneerLajawab', 'MasalaPapad', 'LunchBuffet', 'PaneerSubzi', 'DalMakhani']",[],"['Decor', 'RooftopAmbience']",[],"0, 18, 1"
Mane Biriyani,Banashankari,NA,Not enough,300,['11 AM'],['11 PM'],Biryani,['Home Delivery'],[],[],[],[],[],[],4
Kotian Karavali Restaurant,Banashankari,3.1,57,300,"['1230 PM', '6 PM']","['430 PM', '11 PM']",South Indian,['Home Delivery'],[],[],[],[],[],[],2
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Spoon Mee,Banashankari,NA,Not enough,250,['10 AM'],['10 PM'],"Ice Cream, Burger","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"14, 25"
Kamat Bugle Rock,Banashankari,3.7,5390,250,['9 AM'],['10 PM'],"South Indian, Fast Food","['Breakfast', 'Vegetarian Only']",[],[],"['JowarRoti', 'Buttermilk', 'Coffee', 'JoladaRotti', 'BrinjalCurry', 'VegBiryani']",['FriendlyStaff'],[],[],"2, 3"
Donne Biriyani House,Banashankari,3.1,511,350,"['11 AM', '630 PM']","['430 PM', '11 PM']","Biryani, Andhra",['Home Delivery'],[],[],[],[],[],[],"4, 11"
Cake Ghar,Banashankari,NA,Not enough,400,['11 AM'],['10 PM'],"Bakery, Desserts","['Takeaway Only', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
Kono Pizza,Banashankari,2.7,536,500,['1030 AM'],['1030 PM'],Pizza,[],[],[],['MasalaFries'],[],[],[],12
Kaggis,Banashankari,3.3,546,250,['730 AM'],['10 PM'],"Bakery, Fast Food","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 3"
Greenz,Banashankari,3.2,59,800,['10 AM'],['1230 AM'],"Continental, Italian, Salad","['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[],"6, 10, 30"
Rasoi,Banashankari,2.6,556,300,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],0
Grand Village,Banashankari,3.4,558,600,"['1230 PM', '730 PM']","['330 PM', '1030 PM']","North Indian, Rajasthani","['Vegetarian Only', 'Buffet']",[],[],['Panipuri'],[],[],[],"0, 41"
Om Shiva Shakti Chats Centre,Banashankari,3.3,517,100,['12 No'],['11 PM'],Street Food,['Vegetarian Only'],[],[],[],[],[],[],9
Sri Krishna Sweets,Banashankari,3.3,515,150,['930 AM'],['930 PM'],"Desserts, Mithai",['Desserts and Bakes'],[],[],[],[],[],[],"5, 17"
Dakshin Grand,Banashankari,3.2,512,300,['630 AM'],['1030 PM'],"Juices, South Indian, Fast Food, North Indian, Chinese","['Breakfast', 'WifiPrivate Dining Area Available']",[],[],[],[],[],[],"21, 2, 3, 0, 1"
Bangalore Agarwal Bhavan,Banashankari,3.5,5227,500,['7 AM'],['1030 PM'],"North Indian, Street Food, Mithai","['Breakfast', 'Vegetarian Only', 'Serves Jain Food']",[],[],"['TawaPulao', 'KeralaParatha', 'PavBhaji', 'Jalebi', 'VadaPav', 'Dabeli']",[],[],[],"0, 9, 17"
SLV Corner Restaurant,Banashankari,3.9,5221,550,['8 AM'],['1030 PM'],"North Indian, Chinese, South Indian","['Breakfast', 'Vegetarian Only']",[],[],"['MasalaDosa', 'FilterCoffee', 'MaddurVada', 'OnionDosa', 'Upma', 'CurdVada']",['FriendlyStaff'],[],[],"0, 1, 2"
Hide Out Cafe,Banashankari,3,54,300,['10 AM'],['11 PM'],Cafe,['Smoking Area'],[],[],[],[],[],[],7
TummyKhush,Banashankari,3.1,56,150,['10 AM'],['8 PM'],Fast Food,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],3
Kollapuri's,Banashankari,3.6,583,350,"['12 No', '7 PM']","['4 PM', '1030 PM']","Andhra, North Indian, Chinese",['Home Delivery'],[],[],"['ChickenBiryani', 'MuttonBiryani', 'ChickenFry']",[],[],[],"11, 0, 1"
Raams Chicken,Banashankari,3,58,300,['11 AM'],['11 PM'],Andhra,[],[],[],[],[],[],[],11
Panchami,Banashankari,2.8,512,300,['10 AM'],['1030 PM'],"North Indian, Chinese",['Vegetarian Only'],[],[],[],[],[],[],"0, 1"
Priya Anda Ka Funda,Banashankari,3.2,58,300,['11 AM'],['11 PM'],"North Indian, Chinese, Fast Food",['Home Delivery'],[],[],[],[],[],[],"0, 1, 3"
Butter Sponge,Banashankari,3.7,589,200,['10 AM'],['10 PM'],"Bakery, Desserts",['Desserts and Bakes'],[],[],"['VegPuff', 'AppleCake', 'FruitCake', 'SpongeCake', 'KharaBun']",[],[],[],"8, 5"
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Sri Venkateshwara Chat Centre,Banashankari,NA,Not enough,100,['4 PM'],['10 PM'],Street Food,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],9
Vaishali Deluxe,Banashankari,3.4,521,700,"['1130 AM', '630 PM']","['330 PM', '1130 PM']","North Indian, Chinese","['Home Delivery', 'Beer', 'Smoking Area']",[],[],[],[],[],[],"0, 1"
Icecream House,Banashankari,3,57,200,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],5
FreshMenu,Banashankari,3.7,5140,500,['8 AM'],['1030 PM'],"Asian, Continental, Mediterranean, Salad, American","['Breakfast', 'Delivery Only', 'Seating Not Available', 'Serves Halal']",[],[],['ThaiRice'],[],[],[],"23, 6, 27, 30, 13"
Jemann,Banashankari,NA,Not enough,250,['1215 PM'],['915 PM'],North Indian,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[],0
Bridgeway,Banashankari,3.3,526,550,['12 No'],['12 Mi'],"North Indian, Chinese",[],[],[],[],[],[],[],"0, 1"
Kaapi Thindi,Banashankari,NA,Not enough,200,['7 AM'],['930 PM'],"Cafe, South Indian","['Breakfast', 'Takeaway Only', 'Seating Not Available']",[],[],[],[],[],[],"7, 2"
Cake Of The Day,Banashankari,3.2,552,150,['830 AM'],['10 PM'],Bakery,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],8
Ardha Coffee,Banashankari,NA,Not enough,300,"['630 AM', '4 PM']","['1230 PM', '8 PM']","Cafe, Street Food",['Home Delivery'],[],[],[],[],[],[],"7, 9"
Sweet N Swirl,Banashankari,3,512,150,['1030 AM'],['1030 PM'],"Desserts, Ice Cream","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"5, 14"
Chefie,Banashankari,3.2,55,600,['10 AM'],['1030 PM'],"American, Continental, Fast Food, North Indian, Italian, Chinese","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"13, 6, 3, 0, 10, 1"
Domino's Pizza,Banashankari,3,5109,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],[],[],"['LavaCake', 'StuffedGarlicBread']",[],[],[],12
