location,location-href,type,type-href,restaurant,restaurant-href,nextPage,nextPage-href,phone,cuisines,cost,highlights,featuredIn,rating,operationalHours,knownFor,favFood,favService,favLook,recommendedDishes
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Bawarchi Inn","https://www.zomato.com/bangalore/bawarchi-inn-btm","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=12","+91 8971655556","North Indian, Biryani, Andhra, Chinese","Average ₹600 for two people (approx.)","Highlights
                
        
                Home Delivery","null","2.5/5                                                    
                                                
                                                
                                                    104  votes                                                
												·","Today  12 Noon to 3:30 PM, 6:30 PM to 11 PM","null","Chicken Biryani,                                         
                                                                            
                                            Dum Biryani,                                         
                                                                            
                                            Keema Biryani,                                         
                                                                            
                                            Egg Biryani,                                         
                                                                            
                                            Mutton Biryani","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Karavali Deluxe","https://www.zomato.com/bangalore/karavali-deluxe-bannerghatta-road","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=10","null","Mangalorean","Average ₹500 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  10:30 AM to 10:30 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Eden Park Express - Eden Park Restaurants","https://www.zomato.com/bangalore/eden-park-express-eden-park-restaurants-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=4","080 42777333","North Indian, Afghani","Average ₹600 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.4/5                                                    
                                                
                                                
                                                    35  votes                                                
												·","Today  12 Noon to 3:30 PM, 7 PM to 10:45 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone","Wok n Tava","https://www.zomato.com/bangalore/wok-n-tava-bannerghatta-road","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone&page=6","null","North Indian, Chinese","Average ₹500 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available
        
        
        
            
    
        
        
        
        
                                Serves Non Veg","null","2.6/5                                                    
                                                
                                                
                                                    57  votes                                                
												·","Today  11 AM to 11 PM","null","Paneer Tikka,                                         
                                                                            
                                            Kathi Roll,                                         
                                                                            
                                            Chilli Chicken,                                         
                                                                            
                                            Fried Rice","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone","Night Cafe","https://www.zomato.com/bangalore/night-cafe-btm","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone&page=10","+91 7676059576","North Indian, Chinese, Fast Food","Average ₹350 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","null","2.7/5                                                    
                                                
                                                
                                                    20  votes                                                
												·","Today  8:30 PM to 4:30 AM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","55 Wall Street","https://www.zomato.com/bangalore/55-wall-street-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=2","080 49652902","Finger Food, North Indian, Chinese","Average ₹1,250 for two people (approx.) with alcohol","Highlights
                
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            Valet Parking AvailableWifiNightlifeOutdoor SeatingSmoking AreaLive Sports Screening","null","3.5/5                                                    
                                                
                                                
                                                    109  votes                                                
												·","Today  11:30 AM to 1 AM","null","Shisha,                                         
                                                                            
                                            Nachos,                                         
                                                                            
                                            Fries,                                         
                                                                            
                                            Draught Beer","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Dance Floor","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","SLV Restaurant","https://www.zomato.com/bangalore/slv-restaurant-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=2","080 26586345","South Indian, North Indian, Chinese","Average ₹300 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","4.0/5                                                    
                                                
                                                
                                                    338  votes                                                
												·","Today  6 AM to 9 PM","null","Masala Dosa,                                         
                                                                            
                                            Breakfast,                                         
                                                                            
                                            Handi Biryani,                                         
                                                                            
                                            Maddur Vada,                                         
                                                                            
                                            Filter Coffee,                                         
                                                                            
                                            Goli Bajji,                                         
                                                                            
                                            Kesari Bhaat","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Prompt Service","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Paratha Merchant","https://www.zomato.com/bangalore/paratha-merchant-kumaraswamy-layout","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=10","+91 9845089103","Street Food","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.2/5                                                    
                                                
                                                
                                                    4  votes                                                
												·","Today  10:30 AM to 10 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Once Upon a Rooftop","https://www.zomato.com/bangalore/once-upon-a-rooftop-jayanagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=11","080 49653552","Pizza, Italian, Chinese, Thai","Average ₹1,000 for two people (approx.) with alcohol","Highlights
                
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            NightlifeValet Parking AvailableSmoking AreaOutdoor Seating","null","4.1/5                                                    
                                                
                                                
                                                    250  votes                                                
												·","Today  12 Noon to 11 PM","null","Mushroom Soup,                                         
                                                                            
                                            Coconut Panna Cotta,                                         
                                                                            
                                            Pork Ribs,                                         
                                                                            
                                            Margerita Pizza,                                         
                                                                            
                                            French Fries,                                         
                                                                            
                                            Oreo Cheesecake,                                         
                                                                            
                                            Traditional Pizza","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Friendly Staff","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Rooftop Ambience,                                         
                                                                            
                                            Decor,                                         
                                                                            
                                            Outdoor Seating","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Kamat Swaad","https://www.zomato.com/bangalore/kamat-swaad-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=3","080 26582623","South Indian, North Indian, Chinese","Average ₹400 for two people (approx.)","Highlights
                
                Breakfast
        
        
        
        
        
        
        
        
        
            
    
        
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only","null","3.5/5                                                    
                                                
                                                
                                                    Based on 123 votes                                                
												·","Today  7 AM to 10 PM","null","Jowar Roti,                                         
                                                                            
                                            Buttermilk,                                         
                                                                            
                                            Jolada Rotti,                                         
                                                                            
                                            Breakfast","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Chavadi","https://www.zomato.com/bangalore/chavadi-bannerghatta-road","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=8","080 49653031","Continental","Average ₹1,200 for two people (approx.) with alcohol","Highlights
                
        
        
        
        
        
        
        
        
        
                Full Bar Available
            
    

            RooftopOutdoor SeatingSmoking AreaNightlife","Romantic
 
            Rooftops
 
            Best bars & pubs","4.2/5                                                    
                                                
                                                
                                                    1202  votes                                                
												·","Today  11 AM to 11 PM","their rooftop ambience","Tandoori Chicken,                                         
                                                                            
                                            Spaghetti,                                         
                                                                            
                                            Tangdi Kebab,                                         
                                                                            
                                            Jalapeno Margarita,                                         
                                                                            
                                            Barbecue Chicken Wings,                                         
                                                                            
                                            Keema Pav,                                         
                                                                            
                                            Jalapeno Cocktail","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Courteous Staff,                                         
                                                                            
                                            Friendly Staff,                                         
                                                                            
                                            Prompt Service","Look & Feel
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Lovely Ambience,                                         
                                                                            
                                            Decor,                                         
                                                                            
                                            Rooftop Ambience","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Felicita","https://www.zomato.com/bangalore/felicita-jayanagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=12","080 41105017","Italian, Desserts","Average ₹600 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    
        
        
        
        
                Vegetarian Only
        
        
        
        
        
        
            
    

            Live MusicDesserts and Bakes","null","3.5/5                                                    
                                                
                                                
                                                    44  votes                                                
												·","Today  10 AM to 11 PM","null","Waffles,                                         
                                                                            
                                            Thin Crust Pizza,                                         
                                                                            
                                            Tomato Soup,                                         
                                                                            
                                            Mexican Burrito,                                         
                                                                            
                                            Chocolate Shake,                                         
                                                                            
                                            Cheesy Fries","Service
                                
                                                                            
                                                                            
                                                                            
                                                                            
                                                                            
                                                                    
                                
                                                                            
                                            Friendly Staff","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Magix's Parattha Roll","https://www.zomato.com/bangalore/magixs-parattha-roll-btm","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=12","080 26682874","Fast Food, North Indian","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery","null","3.3/5                                                    
                                                
                                                
                                                    Based on 80 votes                                                
												·","Today  12 Noon to 11 PM","null","Chicken Roll,                                         
                                                                            
                                            Chicken Lollipop,                                         
                                                                            
                                            Tandoori Chicken,                                         
                                                                            
                                            Paneer Roll,                                         
                                                                            
                                            Chicken Schezwan Noodle,                                         
                                                                            
                                            Grill Chicken,                                         
                                                                            
                                            Paratha Roll","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Cafe Bollywood","https://www.zomato.com/bangalore/cafe-bollywood-1-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=5","+91 9343508182","Street Food","Average ₹200 for two people (approx.)","Highlights
                
        
        
        
                Vegetarian Only","null","3.3/5                                                    
                                                
                                                
                                                    Based on 15 votes                                                
												·","Today  11 AM to 10 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Curries And Pickles","https://www.zomato.com/bangalore/curries-and-pickles-bannerghatta-road","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=10","+91 8884688222","Andhra, North Indian, Biryani","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11:30 AM to 3 PM, 6 PM to 10:30 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","KFC","https://www.zomato.com/bangalore/kfc-jp-nagar","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=2","080 49652136","American, Fast Food","Average ₹400 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor Seating","null","3.3/5                                                    
                                                
                                                
                                                    149  votes                                                
												·","Today  11 AM to 11 PM","Their fried chicken","Fries,                                         
                                                                            
                                            Paneer Zinger Burger,                                         
                                                                            
                                            Popcorn Chicken,                                         
                                                                            
                                            Chicken Snacker","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone","Dine Out","https://www.zomato.com/bangalore/dine-out-kumaraswamy-layout","","https://www.zomato.com/bangalore/dine-out-in-jp-nagar?ref_page=subzone&page=9","null","North Indian, Chinese","Average ₹300 for two people (approx.)","Highlights
                
        
                Home Delivery","null","2.4/5                                                    
                                                
                                                
                                                    42  votes                                                
												·","Today  12 Noon to 11 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone","Coffee Break","https://www.zomato.com/bangalore/coffee-break-kumaraswamy-layout","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone&page=8","+91 9900403163","Cafe","Average ₹200 for two people (approx.)","Highlights
                
        
                Home Delivery","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  11 AM to 10 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/delivery-in-jp-nagar?ref_page=subzone","New Kabab Zone","https://www.zomato.com/bangalore/new-kabab-zone-2-bannerghatta-road","","https://www.zomato.com/bangalore/delivery-in-jp-nagar?ref_page=subzone&page=6","+91 9740088666","North Indian, Chinese","Average ₹500 for two people (approx.)","Highlights
                
        
                Home Delivery
        
        
        
        
        
        
        
        
            
    

            Outdoor Seating","null","3.2/5                                                    
                                                
                                                
                                                    18  votes                                                
												·","Today  12 Noon to 11 PM","null","null","null","null","null"
"JP Nagar                        (314 places)","https://www.zomato.com/bangalore/jp-nagar-restaurants","See more ›","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone","North Indian Meals","https://www.zomato.com/bangalore/north-indian-meals-jp-nagar","","https://www.zomato.com/bangalore/pocket-friendly-delivery-in-jp-nagar?ref_page=subzone&page=5","+91 9663636123","North Indian","Average ₹300 for two people (approx.)","Highlights
                
        
                Delivery Only
        
        
        
        
        
        
        
        
            
    
        
        
        
        
        
        
        
                Seating Not Available","null","-                                                    
                                                
                                                
                                                    Not enough votes yet                                                
												·","Today  10:30 AM to 3 PM, 7 PM to 10:30 PM","null","null","null","null","null"
