dish,dish-href,more,more-href,description
"Tomato Rice","http://www.sailusfood.com/2008/11/29/tomato-rice/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/30/","Main Ingredients:
	 tomatoes"
"Pesara pappu-Thotakura kadala Kootu ~ Moong dal with Amaranth stalks","http://www.sailusfood.com/2010/04/06/pesara-pappu-thotakura-kadala-kootu-moong-dal-with-amaranth-stalks/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/23/","1 Pressure cook moong dal with half cup of water and turmeric pwd upto one whistle or half cooked. Add the chopped amaranth stalks to the dal along with 1 1/2 cups of water and cook for 18-20 mts on low to medium flame.

2 Add the coconut paste and salt to the cooked dal-amaranth stalks mix and combine well. Cook on medium flame for another 12-14 mts. The texture should be slightly thick and not watery.

3 In a pan, add ghee or oil, add mustard seeds and let them pop, add urad dal and let it turn red. Add curry leaves and asafoetida and stir fry for a few seconds.

4 Add the tempering to the simmering dal and combine. Turn off heat, place lid and leave covered for a few mts.

5 Serve with hot rice."
"Idli Karam Podi","http://www.sailusfood.com/2008/07/09/idli-karam-podi/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/32/","Main Ingredients:
	 chana dal
	    	
	

				
		
		
		 Ingredients
		
						  1 1/2 tsps oil/ghee for roasting the dals and spice

								  1 cup bengal gram dal/senaga pappu

								  1/4 cup black gram dal/minappapu

								  a little less than 1/2 cup coriander seeds

								  10 dried red chillies, tear into two and de-seed (adjust to suit your spice level)

								  8 garlic cloves

								  salt to taste"
"Vermicelli (Semiya) Vegetable Biryani","http://www.sailusfood.com/2010/11/25/vermicelli-semiya-vegetable-biryani/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/19/",""
"Appalu – Ganesh Chaturthi Recipe","http://www.sailusfood.com/2012/09/18/appalu-andhra-sweet-recipe/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/14/","Method for making Appalu – Ganesh Chaturthi Recipe
			
																						Melt ghee and allow to come to room temperature. In a bowl, mix rice flour, sugar and ghee till it forms a smooth dough. (Initially add only 1 tbsp ghee and mix. If it appears like bread crumb mixture, add another 1-2 tsps ghee and mix. Only add more ghee if the dough needs to shaped to a lightly soft on touch dough)

				
																							If necessary, wet you hand with milk, to form a smooth yet slightly stiff dough. It should hold shape. If its not holding shape, add a few drops of milk, a little at a time.

				
																							Deep fry oil in a heavy bottomed vessel on medium flame. While the oil is heating up, grease your hand and make small lemon sized balls of the dough. Lightly flatten on top and place carefully into the hot oil.

				
																							Deep fry on medium flame till they attain a light brown color. Do not touch the appalu till they attain a light brown shade. Use the ladle to move them or flip them over to cook the other side only after they attain a light brown shade. Continue to deep fry till they reach a deep brown shade on a medium high flame but not high flame.

				
																							Remove onto absorbent paper and cool. Serve as neivedhyam/prasadam."
"Indian Food Trail ~ Khandeshi Cuisine","http://www.sailusfood.com/2012/11/29/indian-food-khandeshi-recipes/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/13/","Mix together chopped fenugreek/methi leaves, green sorrel leaves, tender radish leaves, chopped tomatoes, salt, oil, red chili powder. Squeeze lime juice and mix. Serve as side dish or salad."
"Chicken 65","http://www.sailusfood.com/2012/05/27/chicken-65-recipe/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/14/",""
"Andhra Chicken Pickle","http://www.sailusfood.com/2008/11/05/andhra-chicken-pickle/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/31/","For a good many years I couldn’t get myself to eat chicken pickle or any non-veg pickle for that matter. Not until one Sunday when a friend invited me home for lunch (remember those combined studies days!). She coaxed me for a very long time with pleading looks, “Taste the gravy, at least”. And taste I did. I am ever grateful to her for getting me to taste this heavenly ‘Kodi Avakaya’. She even gave me a bottle of chicken pickle prepared by her grandmother to take home. I regret not asking for the recipe. One of the best chicken pickles I tasted to date."
"Verusenaga (Peanut) Tomato Pachadi","http://www.sailusfood.com/2010/02/03/verusenaga-peanut-tomato-pachadi/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/25/","Its the season for tomatoes and they are reasonably priced too. I had earlier blogged peanut tomato pachadi recipe. Today’s recipe is a variation which is a garlic-y amalgam of sorts with tart, nutty, spicy flavors making it a perfect start for the day’s first meal. One that is hard to resist with dosas and idlis."
"South Indian Tiffin – Uthappams (Lentil Pancakes Topped With Vegetables)","http://www.sailusfood.com/2006/02/21/south-indian-tiffin-uthappams-lentil-pancakes-topped-with-vegetables/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/40/","Ingredients:"
