rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Feast","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#57 of 10,125 Restaurants in Bengaluru","$15 -
$50","Indian, Asian, Chinese, International, Vegetarian Friendly, Gluten Free Options, Vegan Options","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Delivery, Free Wifi","Large groups, Special occasions, Business meetings, Kids, Families with children, Romantic","","Address:
 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","AVHimalayan



Bengaluru, India





Level  Contributor 


94 reviews 


36 restaurant reviews





15 helpful votes 







“Sumptuous buffet spreaf”



Reviewed 1 week ago



via mobile




We visited Feast for a business meeting with a party of 12. We were comfortably seated. There was a Singapore food festival happening there. Yet we had a wide variety of food options from Indian to Italian to Continental and an elaborate dessert spread. Highly recommend for business meetings.




Helpful? 


Thank AVHimalayan 





Report","",""
"Taaza Thindi","https://www.tripadvisor.com/Restaurant_Review-g297628-d7243749-Reviews-Taaza_Thindi-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#35 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner","Takeout","Dining on a budget, Families with children, Kids, Local cuisine","Sunday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Monday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Tuesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Wednesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Thursday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Friday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Saturday
7:00 am - 12:00 pm4:30 pm - 9:30 pm","","Address:
 No. 1004, 26th Main, 4th T Block, Jayanagar | Next to HDFC Bank, Bengaluru 560041, India","+91 76762 08899","","asishagarwal



Jeypore, India





Level  Contributor 


62 reviews 


13 restaurant reviews





55 helpful votes 







“Bestfood”



Reviewed December 22, 2016



via mobile




cheapest and the best dosa in Bangalore.You wouldn't easily get anything cleaner,tastier and cheaper than this!








 


  


Helpful? 


Thank asishagarwal 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d7243749-Reviews-or10-Taaza_Thindi-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Citrus at the Leela Palace Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Bangalore_District_Karnataka.html","","","#23 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Large groups, Local cuisine, Kids, Families with children, Business meetings, Special occasions","Sunday
6:30 am - 12:30 am


Monday
6:30 am - 12:30 am


Tuesday
6:30 am - 12:30 am


Wednesday
6:30 am - 12:30 am


Thursday
6:30 am - 12:30 am


Friday
6:30 am - 12:30 am


Saturday
6:30 am - 12:30 am","","Address:
 23 Old Airport Road | Kodihalli, Old Airport Road, Bengaluru 560 008, India","+91 80 2521 1234","","Vijay M








Level  Contributor 


7 reviews 




3 helpful votes 







“Excellent Brunch Buffet ”



Reviewed 1 week ago



via mobile




The place offers excellent food and very wide variety for the Sunday Brunch. The only thing that needs improvement is the Sushi Bar, which was not upto the mark. It is a tad expensive at over RS 3000 per head (non alcoholic) (including taxes).




Helpful? 


Thank Vijay M 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"JW Kitchen","https://www.tripadvisor.com/Restaurant_Review-g297628-d4870813-Reviews-JW_Kitchen-Bengaluru_Bangalore_District_Karnataka.html","","","#27 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Buffet, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Validated Parking, Full Bar, Wine and Beer","Local cuisine, Special occasions, Large groups, Families with children, Business meetings, Kids","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 24 Vittal Mallya Road, Bengaluru 560001, India","+91 80671 88950","","aabraham77



Bangalore





Level  Contributor 


159 reviews 


55 restaurant reviews





19 helpful votes 







“More than spoiled for choice”



Reviewed February 13, 2017




Buffets have for long been an attraction to the variety seeking, more than just a touch hungry, foodies of Bangalore
Then along comes the JW Kitchen, set far back in the belly of the magnificent new hotel. It quickly becomes the connoisseurs choice, an oasis for the discerning, a place not only to dine but to savour and learn of...


More  






Helpful? 


Thank aabraham77 





Report 





Parul T, General Manager at JW Kitchen, responded to this review



Dear Guest,
Thank you for choosing to dine with us at JW Kitchen Bengaluru. We appreciate that you cared to share your reviews with us and our fellow foodies.
Your feedback on the services we offer is valuable to us and helps us grow and serve you better.
We look forward to seeing you soon on your next visit.
Warm...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4870813-Reviews-or10-JW_Kitchen-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Biere Club","https://www.tripadvisor.com/Restaurant_Review-g297628-d2374783-Reviews-The_Biere_Club-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#42 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Serves Alcohol, Full Bar, Valet Parking","Bar scene, Large groups, Special occasions","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 2nd Floor Near Shell Petrol Pump 20 2 Vittal Mallya Road | Lavelle Road Area, Lavelle Road, Bengaluru 560001, India","+91 80 4212 4383","240","","",""
"Shri Sagar (C.T.R)","https://www.tripadvisor.com/Restaurant_Review-g297628-d850324-Reviews-Shri_Sagar_C_T_R-Bengaluru_Bangalore_District_Karnataka.html","","","#9 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch","Takeout, Seating, Waitstaff","Dining on a budget, Kids, Families with children, Local cuisine","Sunday
5:00 am - 1:30 pm


Monday
5:00 am - 1:30 pm


Tuesday
5:00 am - 1:30 pm


Wednesday
5:00 am - 1:30 pm


Thursday
5:00 am - 1:30 pm


Friday
5:00 am - 1:30 pm


Saturday
5:00 am - 1:30 pm","","Address:
 152 Margosa Road, Near Malleswaram Club | Margosa Road, Malleshwaram, Bengaluru 560003, India (Formerly Central Tiffin Room)","+91 80 2331 7531","","hemabudhrani



Bangalore






2 reviews 







“Good Food !”



Reviewed 4 weeks ago




The Dosa's at CTR are to die for ! In the heart of Bangalore this is a must visit place if you are a foodie. Weekends are packed, so make sure you choose a time that will allow you to enjoy you meal.




Helpful? 


Thank hemabudhrani 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d850324-Reviews-Shri_Sagar_C_T_R-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Fatty Bao","https://www.tripadvisor.com/Restaurant_Review-g297628-d6942844-Reviews-The_Fatty_Bao-Bengaluru_Bangalore_District_Karnataka.html","","","#21 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Families with children, Special occasions, Large groups","Sunday
7:00 pm - 12:00 am12:00 pm - 3:00 pm


Tuesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:00 pm7:00 pm - 1:00 am


Saturday
12:00 pm - 3:00 pm7:00 pm - 1:00 am","","Address:
 3rd Floor Off 80 610 12'th Main Road | Above Monkey Bar, Indiranagar, Bengaluru 560038, India","+91 80 4513 3582","","Carlire



Appignano, Italy





Level  Contributor 


8 reviews 


5 restaurant reviews





7 helpful votes 







“The place to be! The place to eat!”



Reviewed 1 week ago




The staff is attentive and impeccable. The food is delicious and the excellent quality of the ingredients satisfies the finest palates. A successful example of fusion cuisine. Only superlatives for this restaurant that is unrivaled. The place to be. Highly recommended.




Helpful? 


Thank Carlire 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d6942844-Reviews-The_Fatty_Bao-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Fenny's","https://www.tripadvisor.com/Restaurant_Review-g297628-d4243308-Reviews-Fenny_s-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#37 of 10,125 Restaurants in Bengaluru","$5 -
$20","Italian, Bar, Pizza, European, Pub, International, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Valet Parking, Television, Highchairs Available","Large groups, Romantic, Special occasions, Bar scene, Families with children","","Address:
 3rd Floor No 115 7th Block | Opposte Raheja Arcade, Bengaluru 560095, India","+91 80 4128 2428","","Jimmy E



Pune, India





Level  Contributor 


19 reviews 


6 restaurant reviews





4 helpful votes 







“Super bar!”



Reviewed February 4, 2017




First impression of this place was that of extreme crowds. But the energy and spirits (literally!) start to grow on you eventually. Excellent concoction of cocktails - we probably tried everything on the menu! - and good food added to the fervor. Must visit!




Helpful? 


Thank Jimmy E 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4243308-Reviews-or10-Fenny_s-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","","nida s



Bengaluru, India





Level  Contributor 


49 reviews 


36 restaurant reviews





5 helpful votes 







“Overrated & loud”



Reviewed 4 weeks ago




The music is so bloody loud in here! You can't have a normal conversation. The staff are pretty good though. The food is average. The drinks are creative but fine. They have a workspace on the second floor I think. It would be a lot more enjoyable if the music wasn't so jarring.




Helpful? 


Thank nida s 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-or10-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Royal Afghan at The Windsor","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066850-Reviews-The_Royal_Afghan_at_The_Windsor-Bengaluru_Bangalore_District_Karnataka.html","","","#13 of 10,125 Restaurants in Bengaluru","$100","Indian, Asian, Afghani, Vegetarian Friendly, Halal, Gluten Free Options","Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Special occasions, Local cuisine, Business meetings, Kids, Families with children, Romantic","","Address:
 No 25 Golf Course Road | Near Sankey Road, Bengaluru 560052, India","null","","AddedIngredients



Abingdon, United Kingdom





Level  Contributor 


5 reviews 


3 restaurant reviews





1 helpful vote 







“Great meal!”



Reviewed 1 week ago




Loved our meal at The Royal Afghan while staying at the ITC Windsor from the 5th - 17th April. The quality of the food was excellent but, yet again in this hotel, it was the level of service that made the meal fantastic. Thank you to Murthy and the rest of the team.




Helpful? 


Thank AddedIngredients 





Report","",""
